doc_index,register,pca1,pca2,explained_var_pc1,explained_var_pc2
62,informal,0.5987819,0.020400919,0.078987226,0.055545554
63,informal,0.41118148,0.19896497,0.078987226,0.055545554
64,informal,0.4302819,0.21240886,0.078987226,0.055545554
65,informal,0.28695288,0.14049314,0.078987226,0.055545554
66,informal,0.5109067,0.08782677,0.078987226,0.055545554
67,informal,0.18498152,0.22593316,0.078987226,0.055545554
68,informal,0.32849678,-0.023754716,0.078987226,0.055545554
69,informal,0.29882428,-0.09608071,0.078987226,0.055545554
70,informal,0.2893535,-0.12146438,0.078987226,0.055545554
71,informal,0.34095818,-0.041117024,0.078987226,0.055545554
72,informal,0.29394364,-0.07720226,0.078987226,0.055545554
73,informal,0.17230807,0.08588612,0.078987226,0.055545554
74,informal,0.17230807,0.08588612,0.078987226,0.055545554
75,informal,0.17230807,0.08588612,0.078987226,0.055545554
76,informal,0.17230807,0.08588612,0.078987226,0.055545554
77,informal,0.38815618,0.12184731,0.078987226,0.055545554
78,informal,0.30386263,0.11100349,0.078987226,0.055545554
79,informal,0.32391647,0.03266725,0.078987226,0.055545554
80,informal,0.3001937,0.0415189,0.078987226,0.055545554
81,informal,0.30491787,0.010813155,0.078987226,0.055545554
82,informal,0.18255788,0.09145557,0.078987226,0.055545554
83,informal,0.18416855,0.092893735,0.078987226,0.055545554
84,informal,0.19494595,0.095529385,0.078987226,0.055545554
85,informal,0.18354625,0.092116416,0.078987226,0.055545554
86,informal,0.18466055,0.09284457,0.078987226,0.055545554
87,informal,0.33999312,0.22215423,0.078987226,0.055545554
88,informal,0.33999312,0.22215423,0.078987226,0.055545554
89,informal,0.33999312,0.22215423,0.078987226,0.055545554
90,informal,0.09373872,-0.039257497,0.078987226,0.055545554
91,informal,-0.07400337,0.23126939,0.078987226,0.055545554
92,informal,-0.03990193,-0.12096725,0.078987226,0.055545554
93,informal,-0.15194748,-0.18392041,0.078987226,0.055545554
94,informal,-0.04384791,-0.0366922,0.078987226,0.055545554
95,informal,0.1145234,-0.17035416,0.078987226,0.055545554
96,informal,0.11277939,-0.13805676,0.078987226,0.055545554
97,informal,0.16386317,-0.13916577,0.078987226,0.055545554
98,informal,0.119876385,-0.4533815,0.078987226,0.055545554
99,informal,0.3433266,0.06326995,0.078987226,0.055545554
100,informal,0.39475515,-0.04454718,0.078987226,0.055545554
101,informal,0.43842402,0.018055676,0.078987226,0.055545554
102,informal,0.33166894,0.08104333,0.078987226,0.055545554
103,informal,0.30236307,-0.004091036,0.078987226,0.055545554
104,informal,0.32249442,-0.06550594,0.078987226,0.055545554
105,informal,-0.060835287,0.19675945,0.078987226,0.055545554
106,informal,-0.00423157,0.018342286,0.078987226,0.055545554
107,informal,-0.056766108,-0.04706978,0.078987226,0.055545554
108,informal,-0.06079795,0.01389406,0.078987226,0.055545554
109,informal,-0.014480786,-0.056243017,0.078987226,0.055545554
110,informal,-0.06471088,-0.011803028,0.078987226,0.055545554
111,informal,0.13685314,0.08543585,0.078987226,0.055545554
112,informal,0.12882437,0.104964755,0.078987226,0.055545554
113,informal,0.10392658,0.097211406,0.078987226,0.055545554
114,informal,0.11804643,0.085234486,0.078987226,0.055545554
115,informal,0.44734514,0.039791174,0.078987226,0.055545554
116,informal,-0.15110296,0.01575839,0.078987226,0.055545554
117,informal,-0.012859057,0.0027015144,0.078987226,0.055545554
118,informal,0.15566124,0.21041527,0.078987226,0.055545554
119,informal,0.02950508,0.031495143,0.078987226,0.055545554
120,informal,-0.042122085,-0.023532396,0.078987226,0.055545554
121,informal,-0.221237,0.00194477,0.078987226,0.055545554
122,informal,-0.1877689,0.010096893,0.078987226,0.055545554
123,informal,-0.10081848,-0.047745768,0.078987226,0.055545554
124,informal,-0.22841473,-0.0038707147,0.078987226,0.055545554
125,informal,-0.17252135,-0.047552947,0.078987226,0.055545554
126,informal,0.15356557,-0.2398148,0.078987226,0.055545554
