doc_index,register,char_count,word_count,rough_syllable_count_sv,textstat_flesch_reading_ease,textstat_flesch_kincaid_grade,textstat_gunning_fog,textstat_smog_index
111,formal,1054,128,312,29.930500000000023,12.264500000000002,18.87,15.112257680678326
112,formal,2264,301,688,31.11140933729675,12.855530687183073,16.303619513901033,14.479175932971131
113,formal,1531,202,483,23.092545454545473,14.957252525252528,19.435151515151517,16.76809479433877
114,formal,1080,164,327,56.28090785907861,9.936178861788619,12.166937669376694,11.645159339076184
115,formal,1007,152,296,35.297982456140375,14.629473684210527,17.238596491228073,15.247664890283005
116,formal,1579,217,481,26.987956509216616,12.864351958525347,14.825921658986175,13.328392162939544
117,formal,1729,222,539,12.680301455301475,15.733063063063064,18.722661122661123,16.001076179640435
118,formal,892,126,271,51.031714285714315,9.271619047619051,11.38920634920635,11.20814326018867
119,formal,784,121,245,38.394059917355406,15.419070247933885,19.372727272727275,16.52667757954773
120,formal,938,133,288,45.18015151515155,10.601212121212122,12.836363636363638,12.261556223090622
121,formal,1802,250,521,44.51096923076926,11.828400000000002,15.212307692307693,13.991409890343128
122,formal,1323,204,402,42.02602941176474,13.732450980392159,17.258823529411767,15.247664890283005
123,formal,2196,286,668,24.520546328671344,14.279851398601402,17.77937062937063,15.579741850924794
124,formal,1181,179,352,51.32475093109872,9.806270949720673,13.117504655493484,12.457975602129121
125,formal,1326,161,420,11.659305555555562,16.049583333333334,19.611111111111114,16.594172100314452
126,formal,997,129,312,25.488139534883715,14.282414174972317,17.293909191583612,15.343465313023842
127,formal,1308,210,403,54.91772727272729,10.342121212121214,13.160173160173162,12.40481918309499
128,formal,961,140,292,39.97468253968256,11.54809523809524,15.650793650793652,14.06817628641468
129,formal,1184,159,371,18.186556603773596,17.306006289308176,22.423899371069183,19.117987234576393
130,formal,478,63,146,36.42017857142858,12.092182539682543,13.284126984126983,12.602617957971052
131,formal,4684,667,1393,42.631284502262474,11.430811085972852,13.447496229260935,12.730933301510706
132,formal,1357,209,413,44.66100478468903,11.750143540669857,14.872727272727275,13.747043046817236
133,formal,987,133,282,34.88834586466169,13.113233082706767,17.825563909774438,15.719379583869454
134,formal,773,121,242,55.04867768595045,9.875395513577335,11.872963400236129,11.491704259439757
135,formal,1955,278,602,34.81435851318949,14.158669064748203,16.17314148681055,14.554592549557764
136,formal,1820,278,536,25.546776978417256,16.60235971223022,19.89697841726619,17.353723509956247
137,formal,589,93,188,53.1523790322581,11.621586021505376,14.891397849462365,13.427899808715576
138,formal,868,124,264,40.7070071684588,11.00430107526882,13.898207885304661,12.838901577100671
139,formal,1602,203,496,10.879361658456503,15.944445812807885,18.983415435139573,16.11434528070225
140,formal,1401,203,423,43.969030172413795,13.430387931034485,16.258374384236454,14.37465228746014
141,formal,1925,279,605,29.32940322580646,16.099602150537635,18.615197132616487,16.15616582465906
142,formal,721,111,221,48.97783783783785,10.367258687258687,13.910424710424714,13.023866798666859
143,formal,1216,182,371,50.12597902097906,10.378111888111889,12.991808191808193,12.40481918309499
144,formal,1555,233,477,47.007976871721525,9.918419170243208,11.358035288507393,11.20814326018867
145,formal,1477,212,441,38.64348385167466,14.35951555023924,17.148564593301437,15.078166124597352
146,formal,1166,156,354,24.35019230769234,14.707307692307694,17.030769230769234,15.247664890283005
147,formal,3430,474,1042,30.141284962614264,14.142593925966956,16.598947659927997,14.981290276393054
148,formal,864,114,258,32.45000000000002,13.453333333333333,17.07368421052632,15.247664890283005
149,formal,1384,208,436,45.25897435897437,11.25269230769231,14.433333333333332,13.427899808715576
150,formal,1490,214,445,47.02560747663554,10.497596795727642,13.777837116154874,12.905362322585251
151,formal,2393,308,751,30.731314935064972,13.755162337662341,17.44025974025974,15.497558498333571
152,formal,889,118,277,37.94925612052734,11.223333333333336,14.396986817325804,13.023866798666859
153,formal,840,133,254,53.97105263157897,10.451578947368422,14.517293233082706,13.484332010920856
154,formal,1283,149,396,19.104788590604016,14.296167785234903,18.577449664429533,15.514038796780547
155,formal,1580,217,481,26.987956509216616,12.864351958525347,14.825921658986175,13.328392162939544
156,formal,893,126,271,51.031714285714315,9.271619047619051,11.38920634920635,11.20814326018867
157,formal,785,121,245,38.394059917355406,15.419070247933885,19.372727272727275,16.52667757954773
158,formal,939,133,288,45.18015151515155,10.601212121212122,12.836363636363638,12.261556223090622
159,formal,2197,286,668,24.520546328671344,14.279851398601402,17.77937062937063,15.579741850924794
160,formal,1327,161,420,11.659305555555562,16.049583333333334,19.611111111111114,16.594172100314452
161,formal,750,101,226,21.567666666666668,18.532000000000007,22.533333333333335,18.946978176291534
162,formal,1185,159,371,18.186556603773596,17.306006289308176,22.423899371069183,19.117987234576393
163,formal,988,133,282,34.88834586466169,13.113233082706767,17.825563909774438,15.719379583869454
164,formal,1956,278,602,34.81435851318949,14.158669064748203,16.17314148681055,14.554592549557764
165,formal,892,114,265,39.620438596491255,10.879824561403506,13.487719298245615,12.457975602129121
166,formal,778,121,236,48.056942148760356,10.850602125147581,13.195277449822905,12.540900571622839
167,formal,1816,249,550,38.65808734939759,13.022178714859443,16.49277108433735,14.90622815163357
168,formal,902,133,281,37.757181818181834,14.551454545454547,18.741818181818182,16.404322709996244
169,formal,1326,207,409,55.20701219512196,10.651829268292687,14.053658536585367,13.023866798666859
