human_sentiment_label,human_p_pos,human_p_neg,human_p_neu,human_signed_polarity,human_affective_extremity,human_is_subjective,llm_sentiment_label,llm_p_pos,llm_p_neg,llm_p_neu,llm_signed_polarity,llm_affective_extremity,llm_is_subjective
NEUTRAL,0.017332,0.006279,0.976388,0.011053,0.023612,0,NEUTRAL,0.082429,0.017363,0.900207,0.065066,0.099793,0
POSITIVE,0.928493,0.002515,0.068993,0.925978,0.931007,1,NEUTRAL,0.090823,0.014072,0.895105,0.076751,0.104895,0
NEUTRAL,0.031058,0.014782,0.954161,0.016276,0.045839,0,NEUTRAL,0.0606,0.008875,0.930526,0.051725,0.069474,0
POSITIVE,0.946375,0.004635,0.04899,0.94174,0.95101,1,NEUTRAL,0.060747,0.013382,0.925872,0.047365,0.074128,0
NEUTRAL,0.014109,0.012053,0.973838,0.002056,0.026162,0,NEUTRAL,0.017321,0.007234,0.975445,0.010088,0.024555,0
NEUTRAL,0.148182,0.015948,0.83587,0.132234,0.16413,0,NEUTRAL,0.079353,0.007709,0.912938,0.071644,0.087062,0
NEUTRAL,0.32887,0.019299,0.651831,0.309571,0.348169,0,NEUTRAL,0.037198,0.006632,0.95617,0.030566,0.04383,0
NEUTRAL,0.036134,0.01154,0.952326,0.024594,0.047674,0,NEUTRAL,0.046045,0.00767,0.946284,0.038375,0.053716,0
POSITIVE,0.483791,0.038312,0.477897,0.44548,0.522103,1,NEUTRAL,0.066506,0.022076,0.911417,0.04443,0.088583,0
NEUTRAL,0.052128,0.035135,0.912737,0.016994,0.087263,0,POSITIVE,0.892433,0.00523,0.102337,0.887203,0.897663,1
NEUTRAL,0.210506,0.010496,0.778998,0.20001,0.221002,0,NEUTRAL,0.105905,0.02316,0.870935,0.082746,0.129065,0
NEUTRAL,0.08746,0.016417,0.896123,0.071044,0.103877,0,NEUTRAL,0.165243,0.010823,0.823934,0.15442,0.176066,0
NEUTRAL,0.012249,0.017658,0.970092,-0.005409,0.029908,0,NEUTRAL,0.020068,0.06872,0.911212,-0.048652,0.088788,0
NEUTRAL,0.023123,0.032211,0.944665,-0.009088,0.055335,0,NEUTRAL,0.026403,0.037634,0.935963,-0.011231,0.064037,0
NEUTRAL,0.051097,0.044974,0.90393,0.006123,0.09607,0,NEUTRAL,0.027183,0.065594,0.907223,-0.038411,0.092777,0
POSITIVE,0.976744,0.000468,0.022789,0.976276,0.977211,1,NEUTRAL,0.271332,0.006325,0.722343,0.265007,0.277657,0
NEUTRAL,0.224721,0.009726,0.765553,0.214995,0.234447,0,NEUTRAL,0.270687,0.005608,0.723705,0.265079,0.276295,0
NEUTRAL,0.082128,0.019089,0.898783,0.06304,0.101217,0,NEUTRAL,0.154305,0.005495,0.8402,0.14881,0.1598,0
POSITIVE,0.712223,0.001215,0.286561,0.711008,0.713439,1,NEUTRAL,0.295843,0.004389,0.699768,0.291454,0.300232,0
NEUTRAL,0.046706,0.028887,0.924406,0.017819,0.075594,0,NEUTRAL,0.151159,0.012851,0.83599,0.138308,0.16401,0
POSITIVE,0.861542,0.005108,0.13335,0.856434,0.86665,1,NEUTRAL,0.080149,0.010307,0.909544,0.069843,0.090456,0
NEUTRAL,0.012945,0.036565,0.95049,-0.023619,0.04951,0,NEUTRAL,0.123061,0.015338,0.861601,0.107723,0.138399,0
POSITIVE,0.987491,0.000766,0.011743,0.986725,0.988257,1,NEUTRAL,0.07415,0.013672,0.912178,0.060478,0.087822,0
NEUTRAL,0.051743,0.02485,0.923407,0.026894,0.076593,0,NEUTRAL,0.0938,0.016201,0.889999,0.077599,0.110001,0
POSITIVE,0.833979,0.006092,0.159929,0.827888,0.840071,1,NEUTRAL,0.269351,0.02352,0.707129,0.245831,0.292871,0
NEUTRAL,0.036495,0.029152,0.934353,0.007344,0.065647,0,NEUTRAL,0.246442,0.022152,0.731406,0.22429,0.268594,0
POSITIVE,0.957466,0.002897,0.039637,0.95457,0.960363,1,POSITIVE,0.584494,0.013634,0.401872,0.57086,0.598128,1
NEUTRAL,0.035588,0.138145,0.826267,-0.102557,0.173733,0,NEUTRAL,0.218771,0.023793,0.757435,0.194978,0.242565,0
NEUTRAL,0.018112,0.257787,0.724101,-0.239675,0.275899,0,POSITIVE,0.630931,0.007392,0.361677,0.62354,0.638323,1
